,id,sales
0,3000888,0.0
1,3000889,0.0
2,3000890,0.0
3,3000891,5044.0337
4,3000892,0.0
5,3000893,248.76147
6,3000894,0.0
7,3000895,1741.8798
8,3000896,454.42484
9,3000897,29.413164
10,3000898,0.0
11,3000899,0.0
12,3000900,6052.3125
13,3000901,0.0
14,3000902,0.0
15,3000903,0.0
16,3000904,0.0
17,3000905,0.0
18,3000906,22.22075
19,3000907,0.0
20,3000908,15.167405
21,3000909,0.0
22,3000910,26.561666
23,3000911,0.0
24,3000912,0.0
25,3000913,29.413164
26,3000914,0.0
27,3000915,0.0
28,3000916,0.0
29,3000917,0.0
30,3000918,7618.798
31,3000919,0.12574996
32,3000920,0.0
33,3000921,0.0
34,3000922,0.0
35,3000923,7.977326
36,3000924,5844.187
37,3000925,0.0
38,3000926,239.08089
39,3000927,0.0
40,3000928,1955.8604
41,3000929,1507.7354
42,3000930,172.72343
43,3000931,0.0
44,3000932,0.0
45,3000933,8267.024
46,3000934,0.0
47,3000935,0.0
48,3000936,7.977326
49,3000937,48.040146
50,3000938,0.0
51,3000939,136.62999
52,3000940,0.0
53,3000941,106.11146
54,3000942,46.788025
55,3000943,115.87187
56,3000944,0.0
57,3000945,25.821724
58,3000946,262.22034
59,3000947,0.0
60,3000948,0.0
61,3000949,39.397793
62,3000950,0.0
63,3000951,7674.139
64,3000952,91.06982
65,3000953,0.0
66,3000954,16.785555
67,3000955,16.785555
68,3000956,28.669031
69,3000957,6526.415
70,3000958,0.0
71,3000959,319.52966
72,3000960,0.0
73,3000961,2321.8892
74,3000962,1591.3949
75,3000963,241.79034
76,3000964,9.991314
77,3000965,9.991314
78,3000966,9027.96
79,3000967,0.0
80,3000968,0.0
81,3000969,0.0
82,3000970,0.0
83,3000971,0.0
84,3000972,180.25896
85,3000973,0.0
86,3000974,160.1596
87,3000975,25.47472
88,3000976,44.278294
89,3000977,0.0
90,3000978,30.803812
91,3000979,241.79034
92,3000980,0.0
93,3000981,31.366907
94,3000982,0.0
95,3000983,0.0
96,3000984,7798.9106
97,3000985,145.11795
98,3000986,0.0
99,3000987,0.0
100,3000988,0.0
101,3000989,21.45838
102,3000990,5957.9097
103,3000991,0.7419654
104,3000992,268.25095
105,3000993,0.7419654
106,3000994,2024.006
107,3000995,1373.4456
108,3000996,116.681946
109,3000997,0.0
110,3000998,0.0
111,3000999,7478.7007
112,3001000,0.7419654
113,3001001,0.7419654
114,3001002,21.45838
115,3001003,3.5807366
116,3001004,0.7419654
117,3001005,79.8195
